i_bin,jet_origin,qcd_bin,wjets_bin
0,-0.5,0,0
1,0.5,462746,41
2,1.5,2.41173e+06,162
3,2.5,3.31868e+06,256
4,3.5,1.54294e+06,115
5,4.5,2.09835e+06,207
6,5.5,997695,238
7,6.5,0,0
8,7.5,0,0
9,8.5,0,0
10,9.5,0,0
11,10.5,0,0
12,11.5,0,0
13,12.5,0,0
14,13.5,0,0
15,14.5,0,0
16,15.5,0,0
17,16.5,0,0
18,17.5,0,0
19,18.5,0,0
20,19.5,0,0
21,20.5,0,0
22,21.5,1.3343e+07,1046
23,22.5,0,0
24,23.5,0,0
25,24.5,0,0
26,25.5,0,0
27,26.5,0,0
28,27.5,0,0
29,28.5,0,0
30,29.5,0,0
31,30.5,0,0
32,31.5,0,0
33,32.5,0,0
34,33.5,0,0
35,34.5,0,0
36,35.5,0,0
37,36.5,0,0
38,37.5,0,0
39,38.5,0,0
40,39.5,0,0
41,40.5,0,0
42,41.5,0,0
43,42.5,0,0
44,43.5,0,0
45,44.5,0,0
46,45.5,0,0
47,46.5,0,0
48,47.5,0,0
49,48.5,0,0
50,49.5,0,0
51,50.5,0,0
52,51.5,0,0
53,52.5,0,0
54,53.5,0,0
55,54.5,0,0
56,55.5,0,0
57,56.5,0,0
58,57.5,0,0
59,58.5,0,0
60,59.5,0,0
61,60.5,0,0
62,61.5,0,0
63,62.5,0,0
64,63.5,0,0
65,64.5,0,0
66,65.5,0,0
67,66.5,0,0
68,67.5,0,0
69,68.5,0,0
70,69.5,0,0
71,70.5,0,0
72,71.5,0,0
73,72.5,0,0
74,73.5,0,0
75,74.5,0,0
76,75.5,0,0
77,76.5,0,0
78,77.5,0,0
79,78.5,0,0
80,79.5,0,0
81,80.5,0,0
82,81.5,0,0
83,82.5,0,0
84,83.5,0,0
85,84.5,0,0
86,85.5,0,0
87,86.5,0,0
88,87.5,0,0
89,88.5,0,0
90,89.5,0,0
91,90.5,0,0
92,91.5,0,0
93,92.5,0,0
94,93.5,0,0
95,94.5,0,0
96,95.5,0,0
97,96.5,0,0
98,97.5,0,0
99,98.5,0,0
