"nbin","pileup","dtag","data_pu","data_pu_err"
1,0.0000181361853707851,"Data_PhysVal",0.00000657413570041718,0.000000799560988180899
2,0.0000251834395072763,"Data_PhysVal",0.0000230577191238977,0.00000235155652401616
3,0.0000524101138121502,"Data_PhysVal",0.0000634855482588139,0.00000489249978110286
4,0.0000885918705332137,"Data_PhysVal",0.0000839785021201409,0.00000622682666287629
5,0.000110734620827493,"Data_PhysVal",0.000119612979249928,0.00000788929045157799
6,0.000142989100188599,"Data_PhysVal",0.000159733718424862,0.00000967954183169926
7,0.00024377802097105,"Data_PhysVal",0.000187218553405785,0.0000103989041787434
8,0.000719705405469332,"Data_PhysVal",0.000346786786941054,0.0000120951449448268
9,0.00130384687111307,"Data_PhysVal",0.000961230722891044,0.0000197556031884036
10,0.00243814487048112,"Data_PhysVal",0.0021587882389595,0.0000290443463002978
11,0.00502286111472872,"Data_PhysVal",0.00486330935880452,0.0000487495194070584
12,0.00921290762563555,"Data_PhysVal",0.0099053319368391,0.0000777395483413328
13,0.0146744312393409,"Data_PhysVal",0.0165837250448237,0.000104228665889749
14,0.0204535034659742,"Data_PhysVal",0.0241177061412904,0.000127340388533764
15,0.0267515700163118,"Data_PhysVal",0.0323191631480328,0.000147265529078197
16,0.0337555198842521,"Data_PhysVal",0.0409779239232891,0.000168683612573508
17,0.0401372053508807,"Data_PhysVal",0.048416484852175,0.000184417946709977
18,0.0450096202771385,"Data_PhysVal",0.0534949520977928,0.00019349808690964
19,0.0490538544836091,"Data_PhysVal",0.0563910890825517,0.000197247141439645
20,0.052504848074862,"Data_PhysVal",0.0578352482662766,0.000197283288779528
21,0.0548215848392339,"Data_PhysVal",0.0586972508245932,0.000197934766807697
22,0.0559753879440574,"Data_PhysVal",0.0591491613989845,0.000200893810625382
23,0.0554469610305764,"Data_PhysVal",0.0585970128470508,0.000200767115988566
24,0.0537679741695875,"Data_PhysVal",0.0567705948558069,0.000196354194776204
25,0.0512391392476586,"Data_PhysVal",0.0540228188875204,0.000191141709822628
26,0.0476914654388726,"Data_PhysVal",0.0506895826527091,0.000185306846413051
27,0.0435051779688265,"Data_PhysVal",0.046894827753926,0.000177730909074405
28,0.039284454168414,"Data_PhysVal",0.0427705621841171,0.000169188271284392
29,0.0349916247884288,"Data_PhysVal",0.0384928700147904,0.000160472990715702
30,0.030700463579901,"Data_PhysVal",0.0341838207851999,0.000151498842335192
31,0.0272639648679511,"Data_PhysVal",0.0299014209272823,0.000141786908302346
32,0.0237111272264636,"Data_PhysVal",0.0256973311289965,0.000131060508673658
33,0.0208000109155453,"Data_PhysVal",0.0216542084910767,0.000119520339646954
34,0.0182570636182836,"Data_PhysVal",0.0178727700190273,0.000107581448667833
35,0.0160857460199702,"Data_PhysVal",0.014441335805063,0.0000956849544163744
36,0.0142424480544213,"Data_PhysVal",0.0114157291249494,0.0000841625149303286
37,0.0127993900684885,"Data_PhysVal",0.00881607741218866,0.0000730689706522293
38,0.0115750252354707,"Data_PhysVal",0.00663466666477381,0.0000622658439586108
39,0.010550837164912,"Data_PhysVal",0.00484773269094034,0.0000516880531194787
40,0.00957742275072699,"Data_PhysVal",0.00342390191221877,0.0000414959899110379
41,0.00890275850093659,"Data_PhysVal",0.00232736093178252,0.0000320403633681449
42,0.00828307680551582,"Data_PhysVal",0.00151672889161345,0.0000237077710803182
43,0.00763392845912128,"Data_PhysVal",0.000944906606224256,0.0000167783673203037
44,0.00696899032047765,"Data_PhysVal",0.000561653127425832,0.0000113520211590524
45,0.00620832179272203,"Data_PhysVal",0.00031819927914648,0.00000734949201135136
46,0.00547774058230865,"Data_PhysVal",0.000171774691914482,0.00000456297809793993
47,0.00484018291418648,"Data_PhysVal",0.0000883901844670832,0.0000027255289737047
48,0.00407281641516267,"Data_PhysVal",0.0000433998507561205,0.00000157286546267832
49,0.00337344084578009,"Data_PhysVal",0.000020375955411187,0.000000882928371755177
50,0.00270882266126294,"Data_PhysVal",0.00000918588699876701,0.000000491217296395147
51,0.00212764947735988,"Data_PhysVal",0.00000401301820824587,0.000000287334461408948
52,0.00160394561279288,"Data_PhysVal",0.00000173442755374876,0.00000019809628732795
53,0.00117547865865733,"Data_PhysVal",0.000000775724391615244,0.00000016763140287791
54,0.000861309171274856,"Data_PhysVal",0.000000388721555453045,0.000000157922387061384
55,0.00056599015594087,"Data_PhysVal",0.000000237233339830111,0.000000152916710041699
56,0.000367008772565391,"Data_PhysVal",0.000000178050178457969,0.000000148188373693742
57,0.000244203441549255,"Data_PhysVal",0.000000153202282285875,0.000000142836475085051
58,0.000159268930605085,"Data_PhysVal",0.000000140361166917846,0.000000136775697683791
59,0.000100152989282999,"Data_PhysVal",0.00000013135125662225,0.000000130086567742178
60,0.0000663474317634276,"Data_PhysVal",0.000000123351021642878,0.000000122883666546268
61,0.0000366576394538968,"Data_PhysVal",0.000000115474893448115,0.000000115289889545593
62,0.0000263122754715286,"Data_PhysVal",0.000000107508520790187,0.000000107429563767503
63,0.0000211559498880688,"Data_PhysVal",0.0000000994603004235982,0.0000000994243733264565
64,0.000018001240951283,"Data_PhysVal",0.0000000914073448380757,0.0000000913902484952979
65,0.0000147495496750255,"Data_PhysVal",0.0000000834430094255027,0.0000000834346952620262
66,0.0000134672233635421,"Data_PhysVal",0.000000075658694923435,0.000000075654592902382
67,0.0000129638514209533,"Data_PhysVal",0.0000000681366069349876,0.0000000681345972199751
68,0.0000134511074322115,"Data_PhysVal",0.0000000609470579552562,0.0000000609460668629212
69,0.0000136266778738473,"Data_PhysVal",0.0000000541470633238426,0.0000000541465953080177
70,0.0000143786270006445,"Data_PhysVal",0.000000047780176042799,0.0000000477799558000579
71,0.0000135103388326586,"Data_PhysVal",0.0000000418766519586839,0.0000000418765418373133
72,0.0000130522703888516,"Data_PhysVal",0.0000000364542756728408,0.0000000364542206121556
73,0.0000140017744744706,"Data_PhysVal",0.0000000315194342247618,0.0000000315194066944192
74,0.0000136933854453648,"Data_PhysVal",0.0000000270683889939166,0.0000000270683779817796
75,0.0000124330202635978,"Data_PhysVal",0.0000000230888063868038,0.0000000230888008807352
76,0,"Data_PhysVal",0.0000000195612334633157,0.0000000195612307102814
77,0,"Data_PhysVal",0.0000000164606616602007,0.0000000164606589071665
78,0,"Data_PhysVal",0.0000000137579914052912,0.0000000137579886522569
79,0,"Data_PhysVal",0.0000000114214113876697,0.0000000114214113876697
80,0,"Data_PhysVal",0.00000000941763467005355,0.00000000941763467005355
81,0,"Data_PhysVal",0.00000000771296686608887,0.00000000771296686608887
82,0,"Data_PhysVal",0.00000000627420362952083,0.00000000627420362952083
83,0,"Data_PhysVal",0.00000000506936296130768,0.00000000506936296130768
84,0,"Data_PhysVal",0.00000000406823031040498,0.00000000406823031040498
85,0,"Data_PhysVal",0.00000000324276326980238,0.00000000324276326980238
86,0,"Data_PhysVal",0.00000000256733301762853,0.00000000256733301762853
87,0,"Data_PhysVal",0.00000000201886031704373,0.00000000201886031704373
88,0,"Data_PhysVal",0.00000000157683864172774,0.00000000157683864172774
89,0,"Data_PhysVal",0.0000000012232771880705,0.0000000012232771880705
90,0,"Data_PhysVal",0.00000000094258139348511,0.00000000094258139348511
91,0,"Data_PhysVal",0.000000000721388029655427,0.000000000721388029655427
92,0,"Data_PhysVal",0.000000000548371388923892,0.000000000548371388923892
93,0,"Data_PhysVal",0.000000000414034053687486,0.000000000414034053687486
94,0,"Data_PhysVal",0.000000000310493536242299,0.000000000310493536242299
95,0,"Data_PhysVal",0.000000000231272332390569,0.000000000231272332390569
96,0,"Data_PhysVal",0.000000000171099758034386,0.000000000171099758034386
97,0,"Data_PhysVal",0.000000000125727193046247,0.000000000125727193046247
98,0,"Data_PhysVal",0.0000000000917620182422721,0.0000000000917620182422721
99,0,"Data_PhysVal",0.0000000000665196673208709,0.0000000000665196673208709
100,0,"Data_PhysVal",0.0000000000478950051019392,0.0000000000478950051019392
