"nbin","pileup","err"
1,247462,29723.65
2,1070552,101859.5
3,2423186,184479
4,3472562,250924.5
5,4846736,310841.9
6,6387860,374790
7,7874337,395777.4
8,19666100,560660.2
9,51674550,856563.9
10,119752800,1388747
11,273056300,2415271
12,513699700,3518886
13,802975900,4519887
14,1119588000,5332299
15,1463965000,6181013
16,1780989000,6892659
17,2005554000,7308155
18,2135085000,7494517
19,2198369000,7509310
20,2233909000,7528376
21,2252498000,7645063
22,2229431000,7636540
23,2153629000,7455882
24,2040841000,7248039
25,1904508000,7004900
26,1749686000,6690858
27,1582814000,6346972
28,1411278000,5997556
29,1239408000,5631105
30,1069385000,5227252
31,903985100,4782679
32,747330300,4311978
33,603700100,3834358
34,476241300,3367539
35,366442500,2919085
36,274347600,2484885
37,199084300,2060137
38,139340700,1649207
39,93585210,1266130
40,60042520,927996.3
41,36670910,647775.8
42,21271560,430367
43,11704930,272416.3
44,6107991,164707.8
45,3024083,95485.19
46,1422435,53345.62
47,637381.7,28987.02
48,273659.5,15767.49
49,114087.4,9379.047
50,47645.65,6916.472
51,21303.4,6173.651
52,11287.36,5913.23
53,7564.405,5727.614
54,6136.185,5525.855
55,5494.789,5294.447
56,5101.788,5035.266
57,4776.067,4753.036
58,4461.642,4453.089
59,4144.332,4140.881
60,3823.284,3821.785
61,3501.615,3500.93
62,3183.395,3183.073
63,2872.638,2872.485
64,2572.951,2572.879
65,2287.389,2287.355
66,2018.393,2018.377
67,1767.784,1767.777
68,1536.78,1536.777
69,1326.033,1326.032
70,1135.686,1135.685
71,965.4373,965.4371
72,814.6162,814.616
73,682.2534,682.2533
74,567.1563,567.1562
75,467.977,467.977
76,383.2759,383.2759
77,311.5758,311.5758
78,251.4094,251.4094
79,201.3561,201.3561
80,160.0713,160.0713
81,126.3071,126.3071
82,98.92522,98.92522
83,76.90443,76.90443
84,59.34177,59.34177
85,45.45002,45.45002
86,34.55189,34.55189
87,26.07194,26.07194
88,19.52713,19.52713
89,14.51665,14.51665
90,10.71168,10.71168
91,7.845319,7.845319
92,5.703294,5.703294
93,4.11531,4.11531
94,2.947409,2.947409
95,2.095266,2.095266
96,1.478421,1.478421
97,1.035422,1.035422
98,0.719774,0.719774
99,0.4966314,0.4966314
100,0.3401192,0.3401192
