nbin,data_pileup,data_err
1,259022.8,30751.55
2,1322109,121190
3,2553142,195311.5
4,3905555,275704.4
5,5445233,341888.8
6,6959695,399614.2
7,1.007166e+07,427479.7
8,3.028987e+07,708617.4
9,7.604096e+07,1068724
10,1.850865e+08,1872410
11,4.03769e+08,3121567
12,7.000994e+08,4272780
13,1.035032e+09,5244163
14,1.403411e+09,6138952
15,1.771138e+09,7016123
16,2.04937e+09,7556397
17,2.214535e+09,7819374
18,2.294873e+09,7863063
19,2.336489e+09,7871274
20,2.359282e+09,7995569
21,2.336601e+09,7997478
22,2.253587e+09,7801211
23,2.128461e+09,7573208
24,1.976732e+09,7299201
25,1.80447e+09,6947363
26,1.619864e+09,6568791
27,1.431252e+09,6183107
28,1.242995e+09,5771268
29,1.057691e+09,5312570
30,8.79279e+08,4811730
31,7.129845e+08,4289609
32,5.635019e+08,3769394
33,4.336804e+08,3267720
34,3.243469e+08,2785539
35,2.348488e+08,2315669
36,1.637654e+08,1858550
37,1.093327e+08,1427690
38,6.950338e+07,1043469
39,4.189058e+07,723202.8
40,2.386844e+07,474786
41,1.283662e+07,295515.2
42,6513343,174866.9
43,3119603,98798.25
44,1412542,53609.71
45,606631.3,28253.76
46,248890,15020.69
47,99263.53,9025.093
48,40137.22,6943.893
49,17966.36,6360.908
50,9994.005,6124.497
51,7159.277,5918.197
52,6071.36,5683.051
53,5535.195,5414.046
54,5154.569,5115.681
55,4807.443,4794.138
56,4460.928,4455.958
57,4109.698,4107.673
58,3756.455,3755.575
59,3405.931,3405.534
60,3063.024,3062.843
61,2732.189,2732.106
62,2417.202,2417.164
63,2121.077,2121.06
64,1846.044,1846.036
65,1593.568,1593.565
66,1364.407,1364.405
67,1158.678,1158.677
68,975.9518,975.9515
69,815.3458,815.3457
70,675.6222,675.6221
71,555.284,555.284
72,452.6642,452.6642
73,366.0051,366.0051
74,293.5272,293.5272
75,233.4855,233.4855
76,184.2137,184.2137
77,144.1565,144.1565
78,111.8913,111.8913
79,86.14071,86.14071
80,65.77641,65.77641
81,49.81741,49.81741
82,37.42321,37.42321
83,27.88364,27.88364
84,20.60659,20.60659
85,15.10464,15.10464
86,10.98151,10.98151
87,7.918819,7.918819
88,5.663765,5.663765
89,4.017871,4.017871
90,2.827042,2.827042
91,1.972938,1.972938
92,1.36565,1.36565
93,0.9375825,0.9375825
94,0.6384447,0.6384447
95,0.4312017,0.4312017
96,0.2888554,0.2888554
97,0.1919213,0.1919213
98,0.1264759,0.1264759
99,0.0826674,0.0826674
100,0.05359227,0.05359227
