nbin,pileup_down,pileup_down_err
1,247408,29719.14
2,1069198,101757.6
3,2428237,184479.2
4,3566847,255077.3
5,4991648,316068.3
6,6592952,382152.9
7,8096814,402411.1
8,1.996035e+07,568214.2
9,5.19088e+07,861600.3
10,1.19764e+08,1389320
11,2.727385e+08,2412996
12,5.131152e+08,3515938
13,8.022645e+08,4517149
14,1.118678e+09,5329216
15,1.462897e+09,6177158
16,1.780128e+09,6889697
17,2.005117e+09,7306155
18,2.135017e+09,7493466
19,2.198442e+09,7508742
20,2.233922e+09,7527164
21,2.252526e+09,7643482
22,2.229697e+09,7636031
23,2.154207e+09,7456189
24,2.041695e+09,7248661
25,1.905633e+09,7006062
26,1.75112e+09,6692485
27,1.58464e+09,6348964
28,1.413652e+09,6000207
29,1.242583e+09,5635091
30,1.073694e+09,5233574
31,9.098311e+08,4792811
32,7.551622e+08,4328539
33,6.139449e+08,3861940
34,4.89176e+08,3413192
35,3.820278e+08,2991757
36,2.920963e+08,2593080
37,2.180453e+08,2208220
38,1.582475e+08,1834147
39,1.111239e+08,1476434
40,7.515372e+07,1146053
41,4.875717e+07,854534.1
42,3.024816e+07,610254.6
43,1.790216e+07,416465.9
44,1.009061e+07,271055.5
45,5410664,167885.9
46,2758541,98734.53
47,1337580,55074.77
48,617866.3,29300.67
49,273171.4,15371.59
50,116957.1,8911.916
51,49866.21,6636.37
52,22468.16,5997.03
53,11744.55,5741.823
54,7639.01,5529.369
55,6018.736,5296.818
56,5281.034,5037.888
57,4837.605,4756.064
58,4484.041,4456.487
59,4154.077,4144.582
60,3829.091,3825.714
61,3506.268,3505.015
62,3187.728,3187.239
63,2876.865,2876.665
64,2577.094,2577.008
65,2291.415,2291.377
66,2022.261,2022.244
67,1771.457,1771.449
68,1540.227,1540.223
69,1329.231,1329.229
70,1138.621,1138.62
71,968.1026,968.1024
72,817.0121,817.012
73,684.3857,684.3857
74,569.0356,569.0355
75,469.6176,469.6175
76,384.6945,384.6945
77,312.7913,312.7913
78,252.4414,252.4414
79,202.2244,202.2244
80,160.7954,160.7954
81,126.9057,126.9057
82,99.41572,99.41572
83,77.3029,77.3029
84,59.66271,59.66271
85,45.70633,45.70633
86,34.75486,34.75486
87,26.23132,26.23132
88,19.65124,19.65124
89,14.6125,14.6125
90,10.78509,10.78509
91,7.901083,7.901083
92,5.745308,5.745308
93,4.146705,4.146705
94,2.97068,2.97068
95,2.112376,2.112376
96,1.4909,1.4909
97,1.044449,1.044449
98,0.7262526,0.7262526
99,0.5012438,0.5012438
100,0.3433767,0.3433767
