nbin,data_pileup,data_pileup_err
1,238797,29042.9
2,837542.9,85416.9
3,2308427,177722
4,3124754,229527.4
5,4476191,291310.9
6,5995911,358738.4
7,7000896,383673.2
8,1.289165e+07,448703.4
9,3.526173e+07,724792.2
10,7.870123e+07,1057906
11,1.769458e+08,1773199
12,3.600895e+08,2824644
13,6.027665e+08,3787157
14,8.765194e+08,4626545
15,1.174474e+09,5350099
16,1.489059e+09,6128029
17,1.759352e+09,6699651
18,1.943926e+09,7029612
19,2.049172e+09,7165880
20,2.101582e+09,7167199
21,2.132787e+09,7190757
22,2.149099e+09,7297997
23,2.128986e+09,7293314
24,2.062649e+09,7133207
25,1.962884e+09,6944067
26,1.841872e+09,6732134
27,1.704136e+09,6456892
28,1.554523e+09,6146656
29,1.399489e+09,5830381
30,1.243533e+09,5505081
31,1.088821e+09,5153604
32,9.373048e+08,4766310
33,7.920441e+08,4351271
34,6.567177e+08,3924927
35,5.344668e+08,3505203
36,4.271268e+08,3106100
37,3.351056e+08,2730533
38,2.577246e+08,2372114
39,1.937514e+08,2024166
40,1.418309e+08,1686017
41,1.006714e+08,1363558
42,6.901386e+07,1066279
43,4.554008e+07,803604.6
44,2.884748e+07,582236.5
45,1.750632e+07,404768.8
46,1.016264e+07,269528.7
47,5637781,171588.6
48,2987282,104230.8
49,1512002,60333.77
50,731845.4,33370.16
51,339822,17976.99
52,152545.4,10142.75
53,67404.82,6921.509
54,30489.69,5913.04
55,15152.11,5586.478
56,8975.911,5388.072
57,6496.155,5189.187
58,5434.805,4968.316
59,4889.958,4725.228
60,4521.716,4463.575
61,4208.464,4187.74
62,3909.763,3902.224
63,3614.274,3611.447
64,3320.722,3319.619
65,3031.096,3030.645
66,2748.237,2748.044
67,2474.977,2474.891
68,2213.817,2213.778
69,1966.815,1966.797
70,1735.546,1735.538
71,1521.109,1521.105
72,1324.149,1324.147
73,1144.898,1144.897
74,983.2202,983.2198
75,838.6676,838.6674
76,710.5336,710.5335
77,597.9098,597.9097
78,499.7392,499.7391
79,414.8663,414.8663
80,342.082,342.082
81,280.1624,280.1624
82,227.9014,227.9014
83,184.1373,184.1373
84,147.7726,147.7726
85,117.7887,117.7887
86,93.25467,93.25467
87,73.33219,73.33219
88,57.27639,57.27639
89,44.43378,44.43378
90,34.23791,34.23791
91,26.20338,26.20338
92,19.9188,19.9188
93,15.03919,15.03919
94,11.27823,11.27823
95,8.400634,8.400634
96,6.214952,6.214952
97,4.566859,4.566859
98,3.333123,3.333123
99,2.416231,2.416231
100,1.739717,1.739717
