"nbin","pu_ratio"
1,0.362487235656909
2,0.915590545812284
3,1.21132246509444
4,0.947925601013885
5,1.08017689821023
6,1.11710415838814
7,0.767987830322152
8,0.481845466639102
9,0.737226697541913
10,0.88542246406117
11,0.968234885998274
12,1.07515806511256
13,1.13011024238979
14,1.17914792355314
15,1.2081221075371
16,1.21396216274561
17,1.20627443861416
18,1.18852262623873
19,1.14957508795551
20,1.10152205723583
21,1.07069598583705
22,1.05669944544375
23,1.05681198316238
24,1.05584403601945
25,1.05432721315647
26,1.06286485823505
27,1.07791370920327
28,1.08874014134848
29,1.10005952131492
30,1.11346269075817
31,1.09673780288763
32,1.0837667430807
33,1.04106716957985
34,0.978950963457705
35,0.897772213183913
36,0.801528577203105
37,0.688788869236312
38,0.573188095041245
39,0.459464269533227
40,0.357497209983643
41,0.261420202686356
42,0.183111774431868
43,0.123777241466712
44,0.0805931851814276
45,0.0512536704394901
46,0.0313586759601685
47,0.0182617446559743
48,0.0106559801209177
49,0.00604011048146159
50,0.00339109943597573
51,0.00188612750875933
52,0.00108135060186278
53,0.000659922139719069
54,0.000451314775712517
55,0.0004191474663296
56,0.00048513875353278
57,0.000627355131909455
58,0.000881284041932056
59,0.00131150610243989
60,0.00185916799436497
61,0.00315009081785925
62,0.00408586938467248
63,0.00470129211639372
64,0.00507783574951596
65,0.00565732590241663
66,0.00561798767875606
67,0.0052558923056507
68,0.0045310067042737
69,0.00397360705412749
70,0.00332299989704563
71,0.00309960042285951
72,0.00279294518017171
73,0.00225110283573207
74,0.00197674921968105
75,0.00185705531699362
76,Inf
77,Inf
78,Inf
79,Inf
80,Inf
81,Inf
82,Inf
83,Inf
84,Inf
85,Inf
86,Inf
87,Inf
88,Inf
89,Inf
90,Inf
91,Inf
92,Inf
93,Inf
94,Inf
95,Inf
96,Inf
97,Inf
98,Inf
99,Inf
100,Inf
