nbin,weight_pu_bcdef,weight_pu_gh
1,1.6992075423161452,-0.051708825625365225
2,1.1225368426830473,1.308570855815741
3,0.3563815440862405,1.7103166538682726
4,0.7464663314011146,1.5473778594182883
5,0.9241321015538236,1.4223003978197857
6,0.8081564312053119,0.7601165972417765
7,0.6754802226415499,0.26481872935130973
8,1.2805468277273822,0.08152455853233985
9,1.6719464499159513,-0.07794561440017997
10,1.9085645193315788,-0.18747245723099148
11,2.16494984105574,-0.26588583348042355
12,2.296113086258025,-0.3049466779243942
13,2.4040559399481523,-0.32857417450069876
14,2.4668436106108276,-0.34144338157586374
15,2.484381719213227,-0.3500795614550124
16,2.475890415572172,-0.3567195796940552
17,2.442920079609487,-0.35565616759801894
18,2.3616760606632696,-0.34254229380586776
19,2.260642399257188,-0.32547809072639955
20,2.195128256174833,-0.3137531286616255
21,2.16051362304614,-0.3025423703905189
22,2.1439914359635224,-0.28217715163371204
23,2.1045883522612234,-0.2361821163858197
24,2.025899718809274,-0.14337520531074763
25,1.8973474677910531,0.03257768529313485
26,1.6637849653960002,0.3512218601137216
27,1.2539313284221927,0.8759729596133262
28,0.6377989855862221,1.6540399847642144
29,-0.1847070103743127,2.6893342884468296
30,-1.1368958645387295,3.8173063900211335
31,-2.1208574239603135,4.993985361642939
32,-2.9684025422072167,5.94053827581676
33,-3.5881834086896642,6.569019665911586
34,-3.927290636186084,6.81611793028918
35,-3.991760186835204,6.697972283630905
36,-3.788214218355269,6.21780125085034
37,-3.415149749951952,5.524117571744411
38,-2.9324729890250762,4.697442290398055
39,-2.4307423954231626,3.868624891804117
40,-1.8909464283479742,2.9965995289447704
41,-1.4109297278122297,2.2294974007312707
42,-1.0188751404643208,1.6068708219688734
43,-0.7111496852293513,1.1200747272831475
44,-0.48640225063133297,0.7653997960373726
45,-0.32088762791122866,0.5046417325671659
46,-0.2017813413232841,0.3172179321996052
47,-0.1271087791709229,0.1998097310088789
48,-0.07756286345794618,0.1219644731729138
49,-0.04652926707934973,0.073244182343226
50,-0.027175794766209262,0.04289573743172862
51,-0.015720625163212446,0.024979326462496284
52,-0.008845780818313756,0.014288334617613271
53,-0.004632646581486433,0.007809516161683523
54,-0.002385587268164361,0.004541109210698721
55,-0.0008557961183350031,0.0025325347200390405
56,0.0002926854620876628,0.0012607222497570156
57,0.001282390122136752,0.0005098715338037347
58,0.002418079681088705,1.747876059932872e-05
59,0.0036978366914481825,-0.0003694439894857413
60,0.006433790039232165,-0.0008722185335766602
61,0.008425602204478888,-0.0012490340449439945
62,0.009729422136604715,-0.0014876274408751455
63,0.010523205813124277,-0.0016276016300558166
64,0.011730528953068102,-0.0018223593126413587
65,0.011651711834045172,-0.0018134580313558313
66,0.010901862537119021,-0.0016980884596104878
67,0.009398742893432448,-0.001464479544004024
68,0.008242748901718569,-0.001284608359116248
69,0.006893203342196988,-0.001074350382943906
70,0.006429847966651798,-0.0010022001600709745
71,0.0057937697978875016,-0.0009031110979627546
72,0.004669736809773338,-0.0007278809537178234
73,0.0041005900366028,-0.000639143881159201
74,0.003852328491801564,-0.0006004831879743592
