"data_norm_value","mc_norm_value","norm_value_ratio"
0.000000162033315063176,0.00082501832585997,0.000196399655600715
0.0000124009028455535,0.00124253456258613,0.00998032828941442
0.0000476026399809623,0.00339065001724438,0.0140393847017126
0.000096548176429918,0.00407978441712254,0.023665019167364
0.000150591041425097,0.00383164826773735,0.0393018959211577
0.000204218442544007,0.00658814496085291,0.0309978671928871
0.00027445005633322,0.00816929500304136,0.0335953171272484
0.000656006917042755,0.00945286905847709,0.0693976519704845
0.00226748229100289,0.0137786920492643,0.164564407339662
0.00541183059166196,0.0170581998208535,0.317256841196458
0.0105837619991463,0.0213435126026932,0.495877234275431
0.017829656670944,0.0247206414354382,0.721245713526848
0.0273067528379213,0.0280857974817627,0.972261971754682
0.0374774542786113,0.0323397280720477,1.15886732860331
0.0468519442802138,0.0370965193516309,1.26297413070248
0.0557353511734293,0.0456608714734453,1.22063704381645
0.0637903034056614,0.0558926726801723,1.14129992979009
0.070003035007203,0.0577204231992209,1.21279490217161
0.0738725860087163,0.062527412337251,1.18144319822918
0.0753655037767601,0.0590845752888014,1.27555294098974
0.0745970932979321,0.0656851739631661,1.13567626904305
0.071667541914517,0.0677611453417422,1.05764950626312
0.0669168570760685,0.0625477104362719,1.0698530227457
0.0608703497882254,0.0548047087896607,1.11067736938161
0.0539044106311878,0.0503760190358693,1.0700410961971
0.0462248333835634,0.0402292652236756,1.14903499048646
0.0381239467705345,0.0374555119122593,1.0178461012585
0.0301148126295277,0.029987676844778,1.00423960100036
0.0227755529369813,0.0271948890507332,0.837493872267416
0.0165108786601082,0.0219182637801338,0.753293181692306
0.0114720825316088,0.0179405278918546,0.639450667269236
0.00762255039222098,0.0142919847946953,0.533344423585604
0.0048291911529972,0.00841105299928684,0.574148225365678
0.00291262582389518,0.00521990460635842,0.557984492733312
0.00167291076702431,0.00224039653913066,0.746702977711906
0.000916095909016177,0.000776584432386849,1.17964753195031
0.000478882704268183,0.000197257154150833,2.4277076607422
0.000239363554410666,0.0000729367983433871,3.28179409910126
0.000114720437684182,0,0
0.0000529573173492197,0,0
0.0000237118080308727,0,0
0.0000104223830842659,0,0
0.00000460192876893751,0,0
0.00000213529515965876,0,0
0.00000112069500609134,0,0
0.000000714779201390049,0,0
0.00000055667011668497,0,0
0.000000496653844026679,0,0
0.000000474218329549804,0,0
0.000000465358149560363,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
